nbpts,z_h,Te
309,2.23E+10,2.17E+06
310,2.24E+10,2.17E+06
311,2.25E+10,2.17E+06
312,2.25E+10,2.17E+06
313,2.26E+10,2.17E+06
314,2.27E+10,2.17E+06
315,2.28E+10,2.17E+06
316,2.28E+10,2.17E+06
317,2.29E+10,2.17E+06
318,2.30E+10,2.17E+06
319,2.31E+10,2.18E+06
320,2.31E+10,2.18E+06
321,2.32E+10,2.18E+06
322,2.33E+10,2.18E+06
323,2.33E+10,2.18E+06
324,2.34E+10,2.18E+06
325,2.35E+10,2.18E+06
326,2.36E+10,2.18E+06
327,2.36E+10,2.18E+06
328,2.37E+10,2.18E+06
329,2.38E+10,2.18E+06
330,2.38E+10,2.18E+06
331,2.39E+10,2.19E+06
332,2.40E+10,2.19E+06
333,2.41E+10,2.19E+06
334,2.41E+10,2.19E+06
335,2.42E+10,2.19E+06
336,2.43E+10,2.19E+06
337,2.44E+10,2.19E+06
338,2.44E+10,2.19E+06
339,2.45E+10,2.19E+06
340,2.46E+10,2.19E+06
341,2.46E+10,2.19E+06
342,2.47E+10,2.19E+06
343,2.48E+10,2.20E+06
344,2.49E+10,2.20E+06
345,2.49E+10,2.20E+06
346,2.50E+10,2.20E+06
347,2.51E+10,2.20E+06
348,2.52E+10,2.20E+06
349,2.52E+10,2.20E+06
350,2.53E+10,2.20E+06
351,2.54E+10,2.20E+06
352,2.54E+10,2.20E+06
353,2.55E+10,2.20E+06
354,2.56E+10,2.20E+06
355,2.57E+10,2.21E+06
356,2.57E+10,2.21E+06
357,2.58E+10,2.21E+06
358,2.59E+10,2.21E+06
359,2.60E+10,2.21E+06
360,2.60E+10,2.21E+06
361,2.61E+10,2.21E+06
362,2.62E+10,2.21E+06
363,2.62E+10,2.21E+06
364,2.63E+10,2.21E+06
365,2.64E+10,2.21E+06
366,2.65E+10,2.21E+06
367,2.65E+10,2.21E+06
368,2.66E+10,2.22E+06
369,2.67E+10,2.22E+06
370,2.68E+10,2.22E+06
371,2.68E+10,2.22E+06
372,2.69E+10,2.22E+06
373,2.70E+10,2.22E+06
374,2.70E+10,2.22E+06
375,2.71E+10,2.22E+06
376,2.72E+10,2.22E+06
377,2.73E+10,2.22E+06
378,2.73E+10,2.22E+06
379,2.74E+10,2.22E+06
380,2.75E+10,2.22E+06
381,2.75E+10,2.22E+06
382,2.76E+10,2.23E+06
383,2.77E+10,2.23E+06
384,2.78E+10,2.23E+06
385,2.78E+10,2.23E+06
386,2.79E+10,2.23E+06
387,2.80E+10,2.23E+06
388,2.81E+10,2.23E+06
389,2.81E+10,2.23E+06
390,2.82E+10,2.23E+06
391,2.83E+10,2.23E+06
392,2.83E+10,2.23E+06
393,2.84E+10,2.23E+06
394,2.85E+10,2.23E+06
395,2.86E+10,2.23E+06
396,2.86E+10,2.24E+06
397,2.87E+10,2.24E+06
398,2.88E+10,2.24E+06
399,2.89E+10,2.24E+06
400,2.89E+10,2.24E+06
401,2.90E+10,2.24E+06
402,2.91E+10,2.24E+06
403,2.91E+10,2.24E+06
404,2.92E+10,2.24E+06
405,2.93E+10,2.24E+06
406,2.94E+10,2.24E+06
407,2.94E+10,2.24E+06
408,2.95E+10,2.24E+06
409,2.96E+10,2.24E+06
410,2.97E+10,2.25E+06
411,2.97E+10,2.25E+06
412,2.98E+10,2.25E+06
413,2.99E+10,2.25E+06
414,2.99E+10,2.25E+06
415,3.00E+10,2.25E+06
416,3.01E+10,2.25E+06
417,3.02E+10,2.25E+06
418,3.02E+10,2.25E+06
419,3.03E+10,2.25E+06
420,3.04E+10,2.25E+06
421,3.04E+10,2.25E+06
422,3.05E+10,2.25E+06
423,3.06E+10,2.25E+06
424,3.07E+10,2.25E+06
425,3.07E+10,2.25E+06
426,3.08E+10,2.26E+06
427,3.09E+10,2.26E+06
428,3.10E+10,2.26E+06
429,3.10E+10,2.26E+06
430,3.11E+10,2.26E+06
431,3.12E+10,2.26E+06
432,3.12E+10,2.26E+06
433,3.13E+10,2.26E+06
434,3.14E+10,2.26E+06
435,3.15E+10,2.26E+06
436,3.15E+10,2.26E+06
437,3.16E+10,2.26E+06
438,3.17E+10,2.26E+06
439,3.18E+10,2.26E+06
440,3.18E+10,2.26E+06
441,3.19E+10,2.26E+06
442,3.20E+10,2.27E+06
443,3.20E+10,2.27E+06
444,3.21E+10,2.27E+06
445,3.22E+10,2.27E+06
446,3.23E+10,2.27E+06
447,3.23E+10,2.27E+06
448,3.24E+10,2.27E+06
449,3.25E+10,2.27E+06
450,3.26E+10,2.27E+06
451,3.26E+10,2.27E+06
452,3.27E+10,2.27E+06
453,3.28E+10,2.27E+06
454,3.28E+10,2.27E+06
455,3.29E+10,2.27E+06
456,3.30E+10,2.27E+06
457,3.31E+10,2.27E+06
458,3.31E+10,2.27E+06
459,3.32E+10,2.27E+06
460,3.33E+10,2.28E+06
461,3.33E+10,2.28E+06
462,3.34E+10,2.28E+06
463,3.35E+10,2.28E+06
464,3.36E+10,2.28E+06
465,3.36E+10,2.28E+06
466,3.37E+10,2.28E+06
467,3.38E+10,2.28E+06
468,3.39E+10,2.28E+06
469,3.39E+10,2.28E+06
470,3.40E+10,2.28E+06
471,3.41E+10,2.28E+06
472,3.41E+10,2.28E+06
473,3.42E+10,2.28E+06
474,3.43E+10,2.28E+06
475,3.44E+10,2.28E+06
476,3.44E+10,2.28E+06
477,3.45E+10,2.28E+06
478,3.46E+10,2.28E+06
479,3.47E+10,2.28E+06
480,3.47E+10,2.28E+06
481,3.48E+10,2.28E+06
482,3.49E+10,2.28E+06
483,3.49E+10,2.28E+06
484,3.50E+10,2.28E+06
485,3.51E+10,2.28E+06
486,3.52E+10,2.28E+06
487,3.52E+10,2.28E+06
488,3.53E+10,2.28E+06
489,3.54E+10,2.29E+06
490,3.55E+10,2.29E+06
491,3.55E+10,2.29E+06
492,3.56E+10,2.29E+06
493,3.57E+10,2.29E+06
494,3.57E+10,2.29E+06
495,3.58E+10,2.29E+06
496,3.59E+10,2.29E+06
497,3.60E+10,2.29E+06
498,3.60E+10,2.29E+06
499,3.61E+10,2.29E+06
500,3.62E+10,2.29E+06
501,3.62E+10,2.29E+06
502,3.63E+10,2.29E+06
503,3.64E+10,2.29E+06
504,3.65E+10,2.29E+06
505,3.65E+10,2.29E+06
506,3.66E+10,2.29E+06
507,3.67E+10,2.29E+06
508,3.68E+10,2.29E+06
509,3.68E+10,2.29E+06
510,3.69E+10,2.29E+06
511,3.70E+10,2.29E+06
512,3.70E+10,2.29E+06
513,3.71E+10,2.29E+06
514,3.72E+10,2.29E+06
515,3.73E+10,2.29E+06
516,3.73E+10,2.29E+06
517,3.74E+10,2.29E+06
518,3.75E+10,2.29E+06
519,3.76E+10,2.29E+06
520,3.76E+10,2.29E+06
521,3.77E+10,2.29E+06
522,3.78E+10,2.29E+06
523,3.78E+10,2.29E+06
524,3.79E+10,2.29E+06
525,3.80E+10,2.29E+06
526,3.81E+10,2.29E+06
527,3.81E+10,2.30E+06
528,3.82E+10,2.30E+06
529,3.83E+10,2.30E+06
530,3.84E+10,2.30E+06
531,3.84E+10,2.30E+06
532,3.85E+10,2.30E+06
533,3.86E+10,2.30E+06
534,3.86E+10,2.30E+06
535,3.87E+10,2.30E+06
536,3.88E+10,2.30E+06
537,3.89E+10,2.30E+06
538,3.89E+10,2.30E+06
539,3.90E+10,2.30E+06
540,3.91E+10,2.30E+06
541,3.91E+10,2.30E+06
542,3.92E+10,2.30E+06
543,3.93E+10,2.30E+06
544,3.94E+10,2.30E+06
545,3.94E+10,2.30E+06
546,3.95E+10,2.30E+06
547,3.96E+10,2.30E+06
548,3.97E+10,2.30E+06
549,3.97E+10,2.30E+06
550,3.98E+10,2.30E+06
551,3.99E+10,2.30E+06
552,3.99E+10,2.30E+06
553,4.00E+10,2.30E+06
554,4.01E+10,2.30E+06
555,4.02E+10,2.30E+06
556,4.02E+10,2.30E+06
557,4.03E+10,2.30E+06
558,4.04E+10,2.30E+06
559,4.05E+10,2.30E+06
560,4.05E+10,2.30E+06
561,4.06E+10,2.30E+06
562,4.07E+10,2.30E+06
563,4.07E+10,2.30E+06
564,4.08E+10,2.30E+06
565,4.09E+10,2.30E+06
566,4.10E+10,2.31E+06
567,4.10E+10,2.31E+06
568,4.11E+10,2.31E+06
569,4.12E+10,2.31E+06
570,4.13E+10,2.31E+06
571,4.13E+10,2.31E+06
572,4.14E+10,2.31E+06
573,4.15E+10,2.31E+06
574,4.15E+10,2.31E+06
575,4.16E+10,2.31E+06
576,4.17E+10,2.31E+06
577,4.18E+10,2.31E+06
578,4.18E+10,2.31E+06
579,4.19E+10,2.31E+06
580,4.20E+10,2.31E+06
581,4.21E+10,2.31E+06
582,4.21E+10,2.31E+06
583,4.22E+10,2.31E+06
584,4.23E+10,2.31E+06
585,4.23E+10,2.31E+06
586,4.24E+10,2.31E+06
587,4.25E+10,2.31E+06
588,4.26E+10,2.31E+06
589,4.26E+10,2.31E+06
590,4.27E+10,2.31E+06
591,4.28E+10,2.31E+06
592,4.28E+10,2.31E+06
593,4.29E+10,2.31E+06
594,4.30E+10,2.31E+06
595,4.31E+10,2.31E+06
596,4.31E+10,2.31E+06
597,4.32E+10,2.31E+06
598,4.33E+10,2.31E+06
599,4.34E+10,2.31E+06
600,4.34E+10,2.31E+06
601,4.35E+10,2.31E+06
602,4.36E+10,2.31E+06
603,4.36E+10,2.31E+06
604,4.37E+10,2.31E+06
605,4.38E+10,2.32E+06
606,4.39E+10,2.32E+06
607,4.39E+10,2.32E+06
608,4.40E+10,2.32E+06
609,4.41E+10,2.32E+06
610,4.42E+10,2.32E+06
611,4.42E+10,2.32E+06
612,4.43E+10,2.32E+06
613,4.44E+10,2.32E+06
614,4.44E+10,2.32E+06
615,4.45E+10,2.32E+06
616,4.46E+10,2.32E+06
617,4.47E+10,2.32E+06
618,4.47E+10,2.32E+06
619,4.48E+10,2.32E+06
620,4.49E+10,2.32E+06
621,4.50E+10,2.32E+06
622,4.50E+10,2.32E+06
623,4.51E+10,2.32E+06
624,4.52E+10,2.32E+06
625,4.52E+10,2.32E+06
626,4.53E+10,2.32E+06
627,4.54E+10,2.32E+06
628,4.55E+10,2.32E+06
629,4.55E+10,2.32E+06
630,4.56E+10,2.32E+06
631,4.57E+10,2.32E+06
632,4.57E+10,2.32E+06
633,4.58E+10,2.32E+06
634,4.59E+10,2.32E+06
635,4.60E+10,2.32E+06
636,4.60E+10,2.32E+06
637,4.61E+10,2.32E+06
638,4.62E+10,2.32E+06
639,4.63E+10,2.32E+06
640,4.63E+10,2.32E+06
641,4.64E+10,2.32E+06
642,4.65E+10,2.32E+06
643,4.65E+10,2.32E+06
644,4.66E+10,2.33E+06
645,4.67E+10,2.33E+06
646,4.68E+10,2.33E+06
647,4.68E+10,2.33E+06
648,4.69E+10,2.33E+06
649,4.70E+10,2.33E+06
650,4.71E+10,2.33E+06
651,4.71E+10,2.33E+06
652,4.72E+10,2.33E+06
653,4.73E+10,2.33E+06
654,4.73E+10,2.33E+06
655,4.74E+10,2.33E+06
656,4.75E+10,2.33E+06
657,4.76E+10,2.33E+06
658,4.76E+10,2.33E+06
659,4.77E+10,2.33E+06
660,4.78E+10,2.33E+06
661,4.79E+10,2.33E+06
662,4.79E+10,2.33E+06
663,4.80E+10,2.33E+06
664,4.81E+10,2.33E+06
665,4.81E+10,2.33E+06
666,4.82E+10,2.33E+06
667,4.83E+10,2.33E+06
668,4.84E+10,2.33E+06
669,4.84E+10,2.33E+06
670,4.85E+10,2.33E+06
671,4.86E+10,2.33E+06
672,4.86E+10,2.33E+06
673,4.87E+10,2.33E+06
674,4.88E+10,2.33E+06
675,4.89E+10,2.33E+06
676,4.89E+10,2.33E+06
677,4.90E+10,2.33E+06
678,4.91E+10,2.33E+06
679,4.92E+10,2.33E+06
680,4.92E+10,2.33E+06
681,4.93E+10,2.33E+06
682,4.94E+10,2.33E+06
