nbpts,z_h,Te
474,34290000000,2281400
475,34362000000,2281600
476,34435000000,2281900
477,34507000000,2282200
478,34580000000,2282400
479,34652000000,2282700
480,34725000000,2282900
481,34797000000,2283200
482,34870000000,2283400
483,34942000000,2283700
484,35015000000,2284000
485,35087000000,2284200
486,35160000000,2284500
487,35232000000,2284700
488,35305000000,2285000
489,35377000000,2285200
490,35450000000,2285500
491,35522000000,2285800
492,35595000000,2286000
493,35667000000,2286300
494,35740000000,2286500
495,35812000000,2286800
496,35885000000,2287000
497,35957000000,2287300
498,36030000000,2287600
499,36102000000,2287800
500,36175000000,2288100
501,36248000000,2288300
502,36320000000,2288600
503,36393000000,2288800
504,36465000000,2289100
505,36538000000,2289400
506,36610000000,2289600
507,36683000000,2289900
508,36755000000,2290100
509,36828000000,2290400
510,36900000000,2290700
511,36973000000,2290900
512,37045000000,2291200
513,37118000000,2291400
514,37190000000,2291700
515,37263000000,2291900
516,37335000000,2292200
517,37408000000,2292500
518,37480000000,2292700
519,37553000000,2293000
520,37625000000,2293200
521,37698000000,2293500
522,37770000000,2293700
523,37843000000,2294000
524,37915000000,2294300
525,37988000000,2294500
526,38060000000,2294800
527,38133000000,2295000
528,38205000000,2295300
529,38278000000,2295500
530,38350000000,2295800
531,38423000000,2296100
532,38495000000,2296300
533,38568000000,2296600
534,38640000000,2296800
535,38713000000,2297100
536,38785000000,2297300
537,38858000000,2297600
538,38930000000,2297900
539,39003000000,2298100
540,39075000000,2298400
541,39148000000,2298600
542,39220000000,2298900
543,39293000000,2299100
544,39365000000,2299400
545,39438000000,2299700
546,39510000000,2299900
547,39583000000,2300200
548,39655000000,2300400
549,39728000000,2300700
550,39800000000,2300900
551,39873000000,2301200
552,39946000000,2301500
553,40018000000,2301700
554,40091000000,2302000
555,40163000000,2302200
556,40236000000,2302500
557,40308000000,2302800
558,40381000000,2303000
559,40453000000,2303300
560,40526000000,2303500
561,40598000000,2303800
562,40671000000,2304000
563,40743000000,2304300
564,40816000000,2304600
565,40888000000,2304800
566,40961000000,2305100
567,41033000000,2305300
568,41106000000,2305600
569,41178000000,2305800
570,41251000000,2306100
571,41323000000,2306400
572,41396000000,2306600
573,41468000000,2306900
574,41541000000,2307100
575,41613000000,2307400
576,41686000000,2307600
577,41758000000,2307900
578,41831000000,2308200
579,41903000000,2308400
580,41976000000,2308700
581,42048000000,2308900
582,42121000000,2309200
583,42193000000,2309400
584,42266000000,2309700
585,42338000000,2310000
586,42411000000,2310200
587,42483000000,2310500
588,42556000000,2310700
589,42628000000,2311000
590,42701000000,2311200
591,42773000000,2311500
592,42846000000,2311800
593,42918000000,2312000
594,42991000000,2312300
595,43063000000,2312500
596,43136000000,2312800
597,43208000000,2313000
598,43281000000,2313300
599,43353000000,2313600
600,43426000000,2313800
601,43499000000,2314100
602,43571000000,2314300
603,43644000000,2314600
604,43716000000,2314800
605,43789000000,2315100
606,43861000000,2315400
607,43934000000,2315600
608,44006000000,2315900
609,44079000000,2316100
610,44151000000,2316400
611,44224000000,2316700
612,44296000000,2316900
613,44369000000,2317200
614,44441000000,2317400
615,44514000000,2317700
616,44586000000,2317900
617,44659000000,2318200
618,44731000000,2318500
619,44804000000,2318700
620,44876000000,2319000
621,44949000000,2319200
622,45021000000,2319500
623,45094000000,2319700
624,45166000000,2320000
625,45239000000,2320300
626,45311000000,2320500
627,45384000000,2320800
628,45456000000,2321000
629,45529000000,2321300
630,45601000000,2321500
631,45674000000,2321800
632,45746000000,2322100
633,45819000000,2322300
634,45891000000,2322600
635,45964000000,2322800
636,46036000000,2323100
637,46109000000,2323300
638,46181000000,2323600
639,46254000000,2323900
640,46326000000,2324100
641,46399000000,2324400
642,46471000000,2324600
643,46544000000,2324900
644,46616000000,2325100
645,46689000000,2325400
646,46761000000,2325700
647,46834000000,2325900
648,46906000000,2326200
649,46979000000,2326400
650,47051000000,2326700
651,47124000000,2326900
652,47197000000,2327200
653,47269000000,2327500
654,47342000000,2327700
655,47414000000,2328000
656,47487000000,2328200
657,47559000000,2328500
658,47632000000,2328800
659,47704000000,2329000
