nbts,z_h,Te
456,377850000,474300
457,378700000,475190
458,379550000,476070
459,380400000,476960
460,381260000,477840
461,382110000,478720
462,382960000,479600
463,383810000,480470
464,384670000,481340
465,385520000,482220
466,386370000,483080
467,387220000,483950
468,388080000,484820
469,388930000,485680
470,389780000,486540
471,390630000,487400
472,391490000,488250
473,392340000,489110
474,393190000,489960
475,394040000,490810
476,394900000,491650
477,395750000,492500
478,396600000,493340
479,397450000,494180
480,398310000,495020
481,399160000,495860
482,400010000,496690
483,400860000,497520
484,401710000,498350
485,402570000,499180
486,403420000,500010
487,404270000,500830
488,405120000,501650
489,405980000,502470
490,406830000,503290
491,407680000,504100
492,408530000,504920
493,409390000,505730
494,410240000,506540
495,411090000,507340
496,411940000,508150
497,412800000,508950
498,413650000,509750
499,414500000,510540
500,415350000,511340
501,416210000,512130
502,417060000,512920
503,417910000,513710
504,418760000,514500
505,419620000,515280
506,420470000,516070
507,421320000,516850
508,422170000,517620
509,423030000,518400
510,423880000,519170
511,424730000,519950
512,425580000,520720
513,426430000,521480
514,427290000,522250
515,428140000,523010
516,428990000,523770
517,429840000,524520
518,430700000,525240
519,431550000,525970
520,432400000,526690
521,433250000,527410
522,434110000,528130
523,434960000,528850
524,435810000,529570
525,436660000,530280
526,437520000,530990
527,438370000,531710
528,439220000,532420
529,440070000,533130
530,440930000,533840
531,441780000,534540
532,442630000,535250
533,443480000,535950
534,444340000,536660
535,445190000,537360
536,446040000,538060
537,446890000,538760
538,447750000,539460
539,448600000,540150
540,449450000,540850
541,450300000,541540
542,451150000,542240
543,452010000,542930
544,452860000,543620
545,453710000,544310
546,454560000,544990
547,455420000,545680
548,456270000,546360
549,457120000,547050
550,457970000,547730
551,458830000,548410
552,459680000,549090
553,460530000,549760
554,461380000,550440
555,462240000,551120
556,463090000,551790
557,463940000,552460
558,464790000,553130
559,465650000,553800
560,466500000,554470
561,467350000,555140
562,468200000,555800
563,469060000,556470
564,469910000,557130
565,470760000,557790
566,471610000,558450
567,472460000,559110
568,473320000,559770
569,474170000,560420
570,475020000,561080
571,475870000,561730
572,476730000,562390
573,477580000,563040
574,478430000,563690
575,479280000,564330
576,480140000,564980
577,480990000,565630
578,481840000,566270
579,482690000,566910
580,483550000,567550
581,484400000,568190
582,485250000,568830
583,486100000,569470
584,486960000,570110
585,487810000,570740
586,488660000,571370
587,489510000,572010
588,490370000,572640
589,491220000,573270
590,492070000,573890
591,492920000,574520
592,493780000,575150
593,494630000,575770
594,495480000,576390
595,496330000,577010
596,497180000,577620
597,498040000,578220
598,498890000,578810
599,499740000,579410
600,500590000,580000
601,501450000,580590
602,502300000,581180
603,503150000,581770
604,504000000,582360
605,504860000,582950
606,505710000,583540
607,506560000,584130
608,507410000,584710
609,508270000,585300
610,509120000,585880
611,509970000,586470
612,510820000,587050
613,511680000,587630
614,512530000,588210
615,513380000,588790
616,514230000,589370
617,515090000,589950
618,515940000,590530
619,516790000,591100
620,517640000,591680
621,518500000,592260
622,519350000,592830
623,520200000,593400
624,521050000,593980
625,521900000,594550
626,522760000,595120
627,523610000,595690
628,524460000,596260
629,525310000,596830
630,526170000,597400
631,527020000,597960
632,527870000,598530
633,528720000,599090
634,529580000,599660
635,530430000,600220
636,531280000,600780
637,532130000,601350
638,532990000,601910
639,533840000,602470
640,534690000,603030
641,535540000,603580
642,536400000,604140
643,537250000,604700
644,538100000,605260
645,538950000,605810
646,539810000,606360
647,540660000,606920
648,541510000,607470
649,542360000,608020
650,543220000,608570
651,544070000,609120
652,544920000,609670
653,545770000,610220
654,546620000,610770
655,547480000,611320
656,548330000,611860
657,549180000,612410
658,550030000,612950
659,550890000,613490
660,551740000,614040
661,552590000,614580
662,553440000,615120
663,554300000,615660
664,555150000,616200
665,556000000,616740
666,556850000,617270
667,557710000,617810
668,558560000,618350
669,559410000,618880
670,560260000,619420
671,561120000,619950
672,561970000,620480
673,562820000,621010
674,563670000,621540
675,564530000,622070
676,565380000,622600
677,566230000,623130
678,567080000,623660
679,567940000,624190
680,568790000,624710
681,569640000,625240
682,570490000,625760
683,571340000,626280
684,572200000,626810
685,573050000,627330
686,573900000,627850
687,574750000,628370
688,575610000,628890
689,576460000,629400
690,577310000,629880
691,578160000,630370
692,579020000,630850
693,579870000,631330
694,580720000,631810
695,581570000,632290
696,582430000,632770
697,583280000,633250
698,584130000,633730
699,584980000,634210
700,585840000,634690
701,586690000,635160
702,587540000,635640
703,588390000,636120
704,589250000,636590
705,590100000,637070
706,590950000,637540
707,591800000,638020
708,592650000,638490
709,593510000,638970
710,594360000,639440
711,595210000,639910
712,596060000,640390
713,596920000,640860
714,597770000,641330
715,598620000,641800
716,599470000,642270
717,600330000,642740
718,601180000,643210
719,602030000,643680
720,602880000,644150
721,603740000,644620
722,604590000,645090
723,605440000,645560
724,606290000,646020
725,607150000,646490
726,608000000,646960
727,608850000,647420
728,609700000,647890
729,610560000,648350
730,611410000,648810
731,612260000,649280
732,613110000,649740
733,613970000,650200
734,614820000,650670
735,615670000,651130
736,616520000,651590
737,617370000,652050
738,618230000,652510
739,619080000,652970
740,619930000,653430
741,620780000,653890
742,621640000,654350
743,622490000,654810
744,623340000,655270
745,624190000,655720
746,625050000,656180
747,625900000,656640
748,626750000,657090
749,627600000,657550
750,628460000,658000
751,629310000,658460
752,630160000,658910
753,631010000,659360
754,631870000,659820
755,632720000,660270
756,633570000,660720
757,634420000,661170
758,635280000,661620
759,636130000,662070
760,636980000,662530
761,637830000,662970
762,638690000,663420
763,639540000,663870
764,640390000,664320
765,641240000,664770
766,642090000,665220
767,642950000,665660
768,643800000,666110
769,644650000,666560
770,645500000,667000
771,646360000,667450
772,647210000,667890
773,648060000,668340
774,648910000,668780
775,649770000,669220
776,650620000,669670
777,651470000,670110
778,652320000,670550
779,653180000,670990
780,654030000,671430
781,654880000,671870
782,655730000,672310
783,656590000,672750
784,657440000,673190
785,658290000,673630
786,659140000,674070
787,660000000,674510
788,660850000,674940
789,661700000,675380
790,662550000,675820
791,663410000,676250
792,664260000,676690
793,665110000,677120
794,665960000,677560
795,666810000,677990
796,667670000,678420
797,668520000,678860
798,669370000,679290
799,670220000,679720
800,671080000,680150
801,671930000,680590
802,672780000,681020
803,673630000,681450
804,674490000,681880
805,675340000,682310
806,676190000,682730
807,677040000,683160
808,677900000,683590
809,678750000,684020
810,679600000,684440
811,680450000,684870
812,681310000,685300
813,682160000,685720
814,683010000,686150
815,683860000,686570
816,684720000,687000
817,685570000,687420
818,686420000,687840
819,687270000,688270
820,688130000,688690
821,688980000,689110
822,689830000,689530
823,690680000,689950
824,691530000,690370
825,692390000,690790
826,693240000,691210
827,694090000,691630
828,694940000,692050
829,695800000,692470
830,696650000,692890
831,697500000,693300
832,698350000,693720
833,699210000,694140
834,700060000,694550
835,700910000,694970
836,701760000,695380
837,702620000,695800
838,703470000,696210
839,704320000,696620
840,705170000,697040
841,706030000,697450
842,706880000,697860
843,707730000,698270
844,708580000,698690
845,709440000,699100
846,710290000,699510
847,711140000,699920
848,711990000,700330
849,712840000,700730
850,713700000,701140
851,714550000,701550
852,715400000,701960
853,716250000,702360
854,717110000,702770
855,717960000,703180
856,718810000,703580
857,719660000,703990
858,720520000,704390
859,721370000,704800
860,722220000,705200
861,723070000,705600
862,723930000,706010
863,724780000,706410
864,725630000,706810
865,726480000,707210
866,727340000,707610
867,728190000,708010
868,729040000,708410
869,729890000,708810
870,730750000,709210
871,731600000,709610
872,732450000,710010
873,733300000,710410
874,734160000,710800
875,735010000,711200
876,735860000,711600
877,736710000,711980
878,737560000,712360
879,738420000,712740
880,739270000,713110
881,740120000,713490
882,740970000,713870
883,741830000,714240
884,742680000,714620
885,743530000,715000
886,744380000,715370
887,745240000,715750
888,746090000,716120
889,746940000,716500
890,747790000,716870
891,748650000,717250
892,749500000,717620
893,750350000,718000
894,751200000,718370
895,752060000,718740
896,752910000,719120
897,753760000,719490
898,754610000,719860
899,755470000,720230
900,756320000,720610
901,757170000,720980
902,758020000,721350
903,758880000,721720
904,759730000,722090
905,760580000,722460
906,761430000,722830
907,762280000,723200
908,763140000,723570
909,763990000,723940
910,764840000,724310
911,765690000,724680
912,766550000,725050
913,767400000,725420
914,768250000,725780
915,769100000,726150
916,769960000,726520
917,770810000,726890
918,771660000,727250
919,772510000,727620
920,773370000,727990
921,774220000,728350
922,775070000,728720
923,775920000,729080
924,776780000,729450
925,777630000,729810
926,778480000,730180
927,779330000,730540
928,780190000,730910
929,781040000,731270
930,781890000,731640
931,782740000,732000
932,783600000,732360
933,784450000,732720
934,785300000,733090
935,786150000,733450
936,787000000,733810
937,787860000,734170
938,788710000,734530
939,789560000,734890
940,790410000,735260
941,791270000,735620
942,792120000,735980
943,792970000,736340
944,793820000,736700
945,794680000,737050
946,795530000,737410
947,796380000,737770
948,797230000,738130
949,798090000,738490
950,798940000,738850
951,799790000,739200
952,800640000,739560
953,801500000,739920
954,802350000,740280
955,803200000,740630
956,804050000,740990
957,804910000,741340
958,805760000,741700
959,806610000,742060
960,807460000,742410
961,808320000,742760
962,809170000,743120
963,810020000,743470
964,810870000,743830
965,811720000,744180
966,812580000,744530
967,813430000,744890
968,814280000,745240
969,815130000,745590
970,815990000,745950
971,816840000,746300
972,817690000,746650
973,818540000,747000
974,819400000,747350
975,820250000,747700
976,821100000,748050
977,821950000,748400
978,822810000,748750
979,823660000,749100
980,824510000,749450
981,825360000,749800
982,826220000,750150
983,827070000,750500
984,827920000,750850
985,828770000,751200
986,829630000,751540
987,830480000,751890
988,831330000,752240
989,832180000,752580
990,833040000,752930
991,833890000,753280
992,834740000,753620
993,835590000,753970
994,836440000,754320
995,837300000,754660
996,838150000,755010
997,839000000,755350
998,839850000,755690
999,840710000,756040
1000,841560000,756380
1001,842410000,756730
1002,843260000,757070
1003,844120000,757410
1004,844970000,757750
1005,845820000,758100
1006,846670000,758440
1007,847530000,758780
1008,848380000,759120
1009,849230000,759460
1010,850080000,759800
1011,850940000,760150
1012,851790000,760490
1013,852640000,760830
1014,853490000,761170
1015,854350000,761510
1016,855200000,761840
1017,856050000,762180
1018,856900000,762520
1019,857750000,762860
1020,858610000,763200
1021,859460000,763540
1022,860310000,763870
1023,861160000,764210
1024,862020000,764550
1025,862870000,764890
1026,863720000,765220
1027,864570000,765560
1028,865430000,765890
1029,866280000,766230
1030,867130000,766570
1031,867980000,766900
1032,868840000,767240
1033,869690000,767570
1034,870540000,767900
1035,871390000,768240
1036,872250000,768570
1037,873100000,768900
1038,873950000,769240
1039,874800000,769570
1040,875660000,769900
1041,876510000,770240
1042,877360000,770570
1043,878210000,770900
1044,879070000,771230
1045,879920000,771560
1046,880770000,771890
1047,881620000,772220
1048,882470000,772550
1049,883330000,772880
1050,884180000,773210
1051,885030000,773540
1052,885880000,773870
1053,886740000,774200
1054,887590000,774530
1055,888440000,774860
1056,889290000,775190
1057,890150000,775510
1058,891000000,775840
1059,891850000,776170
1060,892700000,776490
1061,893560000,776820
1062,894410000,777150
1063,895260000,777470
1064,896110000,777800
1065,896970000,778130
1066,897820000,778440
1067,898670000,778750
1068,899520000,779050
1069,900380000,779360
1070,901230000,779670
1071,902080000,779970
1072,902930000,780280
1073,903790000,780580
1074,904640000,780890
1075,905490000,781190
1076,906340000,781500
1077,907190000,781800
1078,908050000,782110
1079,908900000,782410
1080,909750000,782720
1081,910600000,783020
1082,911460000,783320
1083,912310000,783630
1084,913160000,783930
1085,914010000,784230
1086,914870000,784540
1087,915720000,784840
1088,916570000,785140
1089,917420000,785450
1090,918280000,785750
1091,919130000,786050
1092,919980000,786350
1093,920830000,786660
1094,921690000,786960
1095,922540000,787260
1096,923390000,787560
1097,924240000,787860
1098,925100000,788160
1099,925950000,788470
1100,926800000,788770
1101,927650000,789070
1102,928510000,789370
1103,929360000,789670
1104,930210000,789970
1105,931060000,790270
1106,931910000,790570
1107,932770000,790870
1108,933620000,791170
1109,934470000,791470
1110,935320000,791770
1111,936180000,792070
1112,937030000,792370
1113,937880000,792670
1114,938730000,792960
1115,939590000,793260
1116,940440000,793560
1117,941290000,793860
1118,942140000,794160
1119,943000000,794460
1120,943850000,794750
1121,944700000,795050
1122,945550000,795350
1123,946410000,795650
1124,947260000,795940
1125,948110000,796240
1126,948960000,796540
1127,949820000,796830
1128,950670000,797130
1129,951520000,797430
1130,952370000,797720
1131,953230000,798020
1132,954080000,798320
1133,954930000,798610
1134,955780000,798910
1135,956630000,799200
1136,957490000,799500
1137,958340000,799790
1138,959190000,800090
1139,960040000,800380
1140,960900000,800680
1141,961750000,800970
1142,962600000,801270
1143,963450000,801560
1144,964310000,801850
1145,965160000,802150
1146,966010000,802440
1147,966860000,802730
1148,967720000,803030
1149,968570000,803320
1150,969420000,803610
1151,970270000,803910
1152,971130000,804200
1153,971980000,804490
1154,972830000,804790
1155,973680000,805080
1156,974540000,805370
1157,975390000,805660
1158,976240000,805950
1159,977090000,806240
1160,977940000,806540
1161,978800000,806830
1162,979650000,807120
1163,980500000,807410
1164,981350000,807700
1165,982210000,807990
1166,983060000,808280
1167,983910000,808570
1168,984760000,808860
1169,985620000,809150
1170,986470000,809440
1171,987320000,809730
1172,988170000,810020
1173,989030000,810310
1174,989880000,810600
1175,990730000,810890
1176,991580000,811180
1177,992440000,811470
1178,993290000,811750
1179,994140000,812040
1180,994990000,812330
1181,995850000,812620
1182,996700000,812910
1183,997550000,813190
1184,998400000,813480
1185,999260000,813770
1186,1000100000,814060
1187,1001000000,814340
1188,1001800000,814630
1189,1002700000,814920
1190,1003500000,815200
1191,1004400000,815490
1192,1005200000,815780
1193,1006100000,816060
1194,1006900000,816350
1195,1007800000,816640
1196,1008600000,816920
1197,1009500000,817210
1198,1010300000,817490
1199,1011200000,817780
1200,1012000000,818060
1201,1012900000,818350
1202,1013700000,818630
1203,1014600000,818920
1204,1015500000,819200
1205,1016300000,819490
1206,1017200000,819770
1207,1018000000,820050
1208,1018900000,820340
1209,1019700000,820620
1210,1020600000,820900
1211,1021400000,821190
1212,1022300000,821470
1213,1023100000,821750
1214,1024000000,822040
1215,1024800000,822320
1216,1025700000,822600
1217,1026500000,822880
1218,1027400000,823170
1219,1028200000,823450
1220,1029100000,823730
1221,1029900000,824010
1222,1030800000,824290
1223,1031600000,824570
1224,1032500000,824860
1225,1033400000,825140
1226,1034200000,825420
1227,1035100000,825700
1228,1035900000,825980
1229,1036800000,826260
1230,1037600000,826540
1231,1038500000,826820
1232,1039300000,827100
1233,1040200000,827380
1234,1041000000,827660
1235,1041900000,827940
1236,1042700000,828220
1237,1043600000,828500
1238,1044400000,828780
1239,1045300000,829050
1240,1046100000,829330
1241,1047000000,829610
1242,1047800000,829890
1243,1048700000,830170
1244,1049500000,830450
1245,1050400000,830720
1246,1051300000,831000
1247,1052100000,831280
1248,1053000000,831560
1249,1053800000,831830
1250,1054700000,832110
1251,1055500000,832390
1252,1056400000,832660
1253,1057200000,832940
1254,1058100000,833220
1255,1058900000,833490
1256,1059800000,833770
1257,1060600000,834050
1258,1061500000,834320
1259,1062300000,834600
1260,1063200000,834870
1261,1064000000,835150
1262,1064900000,835420
1263,1065700000,835700
1264,1066600000,835970
1265,1067400000,836250
1266,1068300000,836520
1267,1069200000,836800
1268,1070000000,837070
1269,1070900000,837340
1270,1071700000,837620
1271,1072600000,837890
1272,1073400000,838160
1273,1074300000,838440
1274,1075100000,838710
1275,1076000000,838980
1276,1076800000,839260
1277,1077700000,839530
1278,1078500000,839800
1279,1079400000,840070
1280,1080200000,840350
1281,1081100000,840620
1282,1081900000,840890
1283,1082800000,841160
1284,1083600000,841430
1285,1084500000,841710
1286,1085300000,841980
1287,1086200000,842250
1288,1087100000,842520
1289,1087900000,842790
1290,1088800000,843060
1291,1089600000,843330
1292,1090500000,843600
1293,1091300000,843870
1294,1092200000,844140
1295,1093000000,844410
1296,1093900000,844680
1297,1094700000,844950
1298,1095600000,845220
1299,1096400000,845490
1300,1097300000,845760
1301,1098100000,846030
1302,1099000000,846300
1303,1099800000,846560
1304,1100700000,846830
1305,1101500000,847100
1306,1102400000,847370
1307,1103200000,847640
1308,1104100000,847900
1309,1105000000,848170
1310,1105800000,848440
1311,1106700000,848710
1312,1107500000,848970
1313,1108400000,849240
1314,1109200000,849510
1315,1110100000,849770
